Model,Rotation,Condition,Split,Episode,Accuracy
GPT,Rule-like,Aligned,test,0,1.0
GPT,Rule-like,Aligned,test,1,0.875
GPT,Rule-like,Aligned,test,2,1.0
GPT,Rule-like,Aligned,test,3,0.875
GPT,Rule-like,Aligned,test,4,0.9375
GPT,Rule-like,Misaligned,test,0,0.5625
GPT,Rule-like,Misaligned,test,1,0.5
GPT,Rule-like,Misaligned,test,2,0.6875
GPT,Rule-like,Misaligned,test,3,0.5
GPT,Rule-like,Misaligned,test,4,0.3125
GPT,Rule-like,Blocked,test,0,1.0
GPT,Rule-like,Blocked,test,1,1.0
GPT,Rule-like,Blocked,test,2,0.9375
GPT,Rule-like,Blocked,test,3,1.0
GPT,Rule-like,Blocked,test,4,0.875
GPT,Rule-like,Interleaved,test,0,0.4375
GPT,Rule-like,Interleaved,test,1,1.0
GPT,Rule-like,Interleaved,test,2,1.0
GPT,Rule-like,Interleaved,test,3,1.0
GPT,Rule-like,Interleaved,test,4,0.5
GPT,Rotated,Aligned,test,0,0.0
GPT,Rotated,Aligned,test,1,0.0
GPT,Rotated,Aligned,test,2,0.0
GPT,Rotated,Aligned,test,3,0.0
GPT,Rotated,Aligned,test,4,0.0
GPT,Rotated,Misaligned,test,0,0.0
GPT,Rotated,Misaligned,test,1,0.0
GPT,Rotated,Misaligned,test,2,0.0
GPT,Rotated,Misaligned,test,3,0.0
GPT,Rotated,Misaligned,test,4,0.0
GPT,Rotated,Blocked,test,0,0.0
GPT,Rotated,Blocked,test,1,0.0
GPT,Rotated,Blocked,test,2,0.0
GPT,Rotated,Blocked,test,3,0.0
GPT,Rotated,Blocked,test,4,0.0
GPT,Rotated,Interleaved,test,0,0.0
GPT,Rotated,Interleaved,test,1,0.0
GPT,Rotated,Interleaved,test,2,0.0
GPT,Rotated,Interleaved,test,3,0.0
GPT,Rotated,Interleaved,test,4,0.0625
Llama2,Rule-like,Aligned,test,episode_87,1.0
Llama2,Rule-like,Aligned,test,episode_43,0.9375
Llama2,Rule-like,Aligned,test,episode_34,1.0
Llama2,Rule-like,Aligned,test,episode_25,1.0
Llama2,Rule-like,Aligned,test,episode_37,1.0
Llama2,Rule-like,Aligned,test,episode_84,1.0
Llama2,Rule-like,Aligned,test,episode_93,1.0
Llama2,Rule-like,Aligned,test,episode_29,1.0
Llama2,Rule-like,Aligned,test,episode_0,1.0
Llama2,Rule-like,Aligned,test,episode_15,0.8125
Llama2,Rule-like,Aligned,test,episode_86,0.9375
Llama2,Rule-like,Aligned,test,episode_90,1.0
Llama2,Rule-like,Aligned,test,episode_54,1.0
Llama2,Rule-like,Aligned,test,episode_75,1.0
Llama2,Rule-like,Aligned,test,episode_42,1.0
Llama2,Rule-like,Aligned,test,episode_56,0.875
Llama2,Rule-like,Aligned,test,episode_3,1.0
Llama2,Rule-like,Aligned,test,episode_77,1.0
Llama2,Rule-like,Aligned,test,episode_35,1.0
Llama2,Rule-like,Aligned,test,episode_14,0.8125
Llama2,Rule-like,Aligned,test,episode_48,1.0
Llama2,Rule-like,Aligned,test,episode_47,0.875
Llama2,Rule-like,Aligned,test,episode_12,1.0
Llama2,Rule-like,Aligned,test,episode_40,1.0
Llama2,Rule-like,Aligned,test,episode_78,1.0
Llama2,Rule-like,Misaligned,test,episode_87,0.375
Llama2,Rule-like,Misaligned,test,episode_43,0.8125
Llama2,Rule-like,Misaligned,test,episode_34,1.0
Llama2,Rule-like,Misaligned,test,episode_25,0.5625
Llama2,Rule-like,Misaligned,test,episode_37,0.8125
Llama2,Rule-like,Misaligned,test,episode_84,0.375
Llama2,Rule-like,Misaligned,test,episode_93,0.5625
Llama2,Rule-like,Misaligned,test,episode_29,0.4375
Llama2,Rule-like,Misaligned,test,episode_0,0.375
Llama2,Rule-like,Misaligned,test,episode_15,0.75
Llama2,Rule-like,Misaligned,test,episode_86,0.875
Llama2,Rule-like,Misaligned,test,episode_90,0.625
Llama2,Rule-like,Misaligned,test,episode_54,0.9375
Llama2,Rule-like,Misaligned,test,episode_75,1.0
Llama2,Rule-like,Misaligned,test,episode_42,0.6875
Llama2,Rule-like,Misaligned,test,episode_56,0.875
Llama2,Rule-like,Misaligned,test,episode_3,0.625
Llama2,Rule-like,Misaligned,test,episode_77,0.4375
Llama2,Rule-like,Misaligned,test,episode_35,0.9375
Llama2,Rule-like,Misaligned,test,episode_14,0.9375
Llama2,Rule-like,Misaligned,test,episode_48,0.625
Llama2,Rule-like,Misaligned,test,episode_47,0.5625
Llama2,Rule-like,Misaligned,test,episode_12,0.875
Llama2,Rule-like,Misaligned,test,episode_40,0.6875
Llama2,Rule-like,Misaligned,test,episode_78,0.375
Llama2,Rule-like,Blocked,test,episode_52,0.75
Llama2,Rule-like,Blocked,test,episode_8,0.875
Llama2,Rule-like,Blocked,test,episode_78,1.0
Llama2,Rule-like,Blocked,test,episode_71,1.0
Llama2,Rule-like,Blocked,test,episode_79,1.0
Llama2,Rule-like,Blocked,test,episode_97,1.0
Llama2,Rule-like,Blocked,test,episode_20,0.625
Llama2,Rule-like,Blocked,test,episode_76,1.0
Llama2,Rule-like,Blocked,test,episode_30,1.0
Llama2,Rule-like,Blocked,test,episode_69,1.0
Llama2,Rule-like,Blocked,test,episode_48,1.0
Llama2,Rule-like,Blocked,test,episode_1,1.0
Llama2,Rule-like,Blocked,test,episode_40,1.0
Llama2,Rule-like,Blocked,test,episode_91,1.0
Llama2,Rule-like,Blocked,test,episode_17,1.0
Llama2,Rule-like,Blocked,test,episode_56,1.0
Llama2,Rule-like,Blocked,test,episode_87,0.9375
Llama2,Rule-like,Blocked,test,episode_2,0.6875
Llama2,Rule-like,Blocked,test,episode_61,0.6875
Llama2,Rule-like,Blocked,test,episode_14,1.0
Llama2,Rule-like,Blocked,test,episode_84,0.9375
Llama2,Rule-like,Blocked,test,episode_89,1.0
Llama2,Rule-like,Blocked,test,episode_66,1.0
Llama2,Rule-like,Blocked,test,episode_68,0.9375
Llama2,Rule-like,Blocked,test,episode_32,0.9375
Llama2,Rule-like,Blocked,test,episode_57,0.8125
Llama2,Rule-like,Blocked,test,episode_70,1.0
Llama2,Rule-like,Blocked,test,episode_74,1.0
Llama2,Rule-like,Blocked,test,episode_15,0.6875
Llama2,Rule-like,Blocked,test,episode_46,0.9375
